id,id_territoire,code,nom,created_by,created_on,updated_by,updated_on
1,7,DRC1000600,BAFULIRO,Olivier,10:12.8,Olivier,19:46.1
3,1,DRC0800400,BAHUNDE,Olivier,10:12.8,SJ,25:10.9
4,3,DRC0800800,BAKANO,Olivier,10:12.8,NULL,NULL
5,5,DRC0800300,BAMATE,Olivier,10:12.8,NULL,NULL
6,5,DRC0800302,BAPERE,Olivier,10:12.8,NULL,NULL
7,1,DRC0800401,BASHALI,Olivier,10:12.8,NULL,NULL
8,4,DRC0800600,BASHU,Olivier,10:12.8,NULL,NULL
9,5,DRC0800303,BASWAGHA,Olivier,10:12.8,NULL,NULL
10,5,DRC0800301,BATANGI,Olivier,10:12.8,NULL,NULL
11,4,DRC0800603,BENI,Olivier,10:12.8,NULL,NULL
12,2,DRC0800701,BWISHA,Olivier,10:12.8,NULL,NULL
13,2,DRC0800700,BWITO,Olivier,10:12.8,NULL,NULL
14,10,DRC1000100,KABARE,Olivier,10:12.8,NULL,NULL
15,1,DRC0800402,KATOYI,Olivier,10:12.8,NULL,NULL
17,12,DRC1000701,MUTAMBALA,Olivier,10:12.8,NULL,NULL
18,11,DRC1000800,NTAMBUKA,Olivier,10:12.8,NULL,NULL
19,1,DRC0800403,OSSO BANYUNGU,Olivier,10:12.8,NULL,NULL
20,7,DRC1000602,PLAINE DE LA RUZIZI,Olivier,10:12.8,NULL,NULL
21,11,DRC1000801,RUBENGA,Olivier,10:12.8,NULL,NULL
22,4,DRC0800601,RUWENZORI,Olivier,10:12.8,NULL,NULL
23,3,DRC0800801,WANYANGA,Olivier,10:12.8,NULL,NULL
25,6,DRC0800500,BUKUMU,Patrick,14:17.5,Patrick,02:14.5
36,4,DRC0800602,WATALINGA,[Import],22:42.3,NULL,NULL
37,7,DRC1000601,BAVIRA,[Import],22:42.3,NULL,NULL
38,8,DRC1000400,BAKISI,[Import],22:42.3,NULL,NULL
39,8,DRC1000401,WAKABANGO,[Import],22:42.3,NULL,NULL
40,9,DRC1000300,BUHAVU,[Import],22:42.3,NULL,NULL
41,9,DRC1000301,BULOHO,[Import],22:42.3,NULL,NULL
42,10,DRC1000101,NINDJA,[Import],22:42.3,NULL,NULL
43,12,DRC1000700,LULENGE,[Import],22:42.3,NULL,NULL
44,12,DRC1000702,NGANDJA,[Import],22:42.3,NULL,NULL
45,12,DRC1000703,TANGANYIKA,[Import],22:42.3,NULL,NULL
46,13,DRC0800000,BEU,[Import],22:42.3,NULL,NULL
47,13,DRC0800001,BUNGULU,[Import],22:42.3,NULL,NULL
48,13,DRC0800002,MULEKERA,[Import],22:42.3,NULL,NULL
49,13,DRC0800003,RWENZORI,[Import],22:42.3,NULL,NULL
50,14,DRC0800100,MUSUSA,[Import],22:42.3,NULL,NULL
51,14,DRC0800101,BULENGERA,[Import],22:42.3,NULL,NULL
52,14,DRC0800102,KIMEMI,[Import],22:42.3,NULL,NULL
53,14,DRC0800103,VULAMBA,[Import],22:42.3,NULL,NULL
54,15,DRC0800200,GOMA,[Import],22:42.3,NULL,NULL
55,15,DRC0800201,KARISIMBI,[Import],22:42.3,NULL,NULL
56,16,DRC1000000,IBANDA,[Import],22:42.3,NULL,NULL
57,16,DRC1000001,BAGIRA,[Import],22:42.3,NULL,NULL
58,16,DRC1000002,KADUTU,[Import],22:42.3,NULL,NULL
59,16,DRC1000003,KASHA,[Import],22:42.3,NULL,NULL
60,17,DRC1000200,KAZIBA,[Import],22:42.3,NULL,NULL
61,17,DRC1000201,NGWESHE,[Import],22:42.3,NULL,NULL
62,18,DRC1000500,BASILE,[Import],22:42.3,NULL,NULL
63,18,DRC1000501,BURHINYI,[Import],22:42.3,NULL,NULL
64,18,DRC1000502,ITOMBWE,[Import],22:42.3,NULL,NULL
65,18,DRC1000503,LWINDI,[Import],22:42.3,NULL,NULL
66,18,DRC1000504,LUHWINDJA,[Import],22:42.3,NULL,NULL
67,18,DRC1000505,WAMUZIMU,[Import],22:42.3,NULL,NULL
