id,id_collectivite,code,nom,created_by,created_on,updated_by,updated_on
1,23,DRC080080100,BAFUNA,Olivier,11:48.5,NULL,NULL
2,4,DRC080080000,BAKANO,Olivier,11:48.5,NULL,NULL
4,13,DRC080070000,BAMBU,Olivier,11:48.5,NULL,NULL
6,23,DRC080080102,BANABANGI,Olivier,11:48.5,NULL,NULL
7,19,DRC080040300,BANYUNGU,Olivier,11:48.5,NULL,NULL
8,6,DRC080030200,BAPAITUMBA,Olivier,11:48.5,NULL,NULL
9,19,DRC080040301,BAPFUNA,Olivier,11:48.5,NULL,NULL
10,7,DRC080040100,BASHALI KAEMBE,Olivier,11:48.5,NULL,NULL
11,7,DRC080040101,BASHALI MUKOTO,Olivier,11:48.5,NULL,NULL
12,22,DRC080060100,BASONGORA,Olivier,11:48.5,Olivier,17:04.5
13,11,DRC080060301,BATANGI,Olivier,11:48.5,NULL,NULL
14,6,DRC080030201,BATIKE,Olivier,11:48.5,NULL,NULL
15,19,DRC080040302,BIIRI,Olivier,11:48.5,NULL,NULL
16,12,DRC080070100,BINZA,Olivier,11:48.5,NULL,NULL
17,13,DRC080070001,BISHUSHA,Olivier,11:48.5,NULL,NULL
18,22,DRC080060101,BOLEMA,Olivier,11:48.5,NULL,NULL
19,19,DRC080040303,BUABO,Olivier,11:48.5,NULL,NULL
20,14,DRC100050102,BUGOBE,Olivier,11:48.5,NULL,NULL
21,5,DRC080030001,BUHIMBA,Olivier,11:48.5,NULL,NULL
22,9,DRC080030300,BUKENYE,Olivier,11:48.5,NULL,NULL
23,12,DRC080070101,BUKOMA,Olivier,11:48.5,NULL,NULL
24,13,DRC080070002,BUKOMBO,Olivier,11:48.5,NULL,NULL
26,21,DRC100080101,BUNYAKIRI,Olivier,11:48.5,NULL,NULL
27,12,DRC080070102,BUSANZA,Olivier,11:48.5,NULL,NULL
28,9,DRC080030301,BUYORA,Olivier,11:48.5,NULL,NULL
29,40,DRC100030000,BUZI,Olivier,11:48.5,NULL,NULL
30,12,DRC080070103,BWEZA,Olivier,11:48.5,NULL,NULL
34,23,DRC080080103,IHANA,Olivier,11:48.5,NULL,NULL
35,23,DRC080080104,IKOBO,Olivier,11:48.5,NULL,NULL
36,8,DRC080060000,KASONGWERE-ISALE,Olivier,11:48.5,Olivier,11:48.9
37,10,DRC080030100,ITALA,Olivier,11:48.5,NULL,NULL
