id,id_groupement,nom,created_by,created_on,updated_by,updated_on,longitude,latitude
1,43,ALAHO,Olivier,14:03.8,NULL,NULL,NULL,NULL
2,15,BABOMONGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
3,1,BAFUNA,Olivier,14:03.8,NULL,NULL,NULL,NULL
4,80,BAHAVU,Olivier,14:03.8,NULL,NULL,NULL,NULL
5,2,BAKANO,Olivier,14:03.8,NULL,NULL,NULL,NULL
6,11,BAKOMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
7,45,BALEMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
8,45,BALINDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
9,45,BALINDOYIHOLA,Olivier,14:03.8,NULL,NULL,NULL,NULL
10,45,BALWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
11,4,BAMBU,Olivier,14:03.8,NULL,NULL,NULL,NULL
12,48,BANAKABUTWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
13,45,BANA-KINDI,Olivier,14:03.8,NULL,NULL,NULL,NULL
14,9,BANA-LUFUNO,Olivier,14:03.8,NULL,NULL,NULL,NULL
15,34,BANAMUKOBYA,Olivier,14:03.8,NULL,NULL,NULL,NULL
16,45,BANANKOYO,Olivier,14:03.8,NULL,NULL,NULL,NULL
17,48,BANA-ULENGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
18,11,BANFUHI,Olivier,14:03.8,NULL,NULL,NULL,NULL
19,45,BANYANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
20,80,BANYANGUNGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
21,7,BANYUNGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
22,11,BASESI,Olivier,14:03.8,NULL,NULL,NULL,NULL
23,24,BASHABO,Olivier,14:03.8,NULL,NULL,NULL,NULL
24,24,BASHOGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
25,11,BASHUMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
26,35,BASUKALI,Olivier,14:03.8,NULL,NULL,NULL,NULL
27,13,BATANGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
28,35,BATEREKA,Olivier,14:03.8,NULL,NULL,NULL,NULL
29,24,BATSIRA,Olivier,14:03.8,NULL,NULL,NULL,NULL
30,60,BIASHA,Olivier,14:03.8,NULL,NULL,NULL,NULL
31,11,BIBANJA,Olivier,14:03.8,NULL,NULL,NULL,NULL
32,40,BIBATAMA/KAMURONZA,Olivier,14:03.8,NULL,NULL,NULL,NULL
33,42,BIBATAMA/KIBABI 2,Olivier,14:03.8,NULL,NULL,NULL,NULL
34,11,BIBWE,Olivier,14:03.8,NULL,NULL,NULL,NULL
35,11,BICHINDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
36,11,BIFUMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
37,16,BIHAMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
38,71,BIHAMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
39,58,BIHAMBWE,Olivier,14:03.8,NULL,NULL,NULL,NULL
40,11,BIHENDO/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
41,45,BIHENDO/KISIMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
42,11,BIHIRA/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
43,9,BIHOLO,Olivier,14:03.8,NULL,NULL,NULL,NULL
44,60,BIIRI,Olivier,14:03.8,Patrick,01:40.0,0,0
45,10,BIKENGE/B-KAEMBE,Olivier,14:03.8,NULL,NULL,NULL,NULL
46,11,BIKENGE/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
47,45,BIKENGE/KISIMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
48,62,BIKENGE/MUTANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
49,23,BIKENKE,Olivier,14:03.8,NULL,NULL,NULL,NULL
50,45,BIKINDI,Olivier,14:03.8,NULL,NULL,NULL,NULL
51,60,BIKOMWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
52,73,BIKUNJE,Olivier,14:03.8,NULL,NULL,NULL,NULL
53,43,BILAMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
54,44,BILUMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
55,43,BINDJA,Olivier,14:03.8,NULL,NULL,NULL,NULL
56,61,BINGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
57,62,BINI,Olivier,14:03.8,NULL,NULL,NULL,NULL
58,45,BINYORA,Olivier,14:03.8,NULL,NULL,NULL,NULL
59,43,BINYORA/KIHONDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
60,62,BINYORA/MUTANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
61,16,BINZA,Olivier,14:03.8,NULL,NULL,NULL,NULL
62,73,BIOLU,Olivier,14:03.8,NULL,NULL,NULL,NULL
63,11,BIPFUMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
64,24,BIPFURA,Olivier,14:03.8,NULL,NULL,NULL,NULL
65,11,BIRAMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
66,24,BIRAMBIZO,Olivier,14:03.8,NULL,NULL,NULL,NULL
67,71,BIREGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
68,43,BIRERE,Olivier,14:03.8,NULL,NULL,NULL,NULL
69,78,BIRIKO,Olivier,14:03.8,NULL,NULL,NULL,NULL
70,45,BIRINGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
